,Player,CurrentSalary,UpcomingSalary,Age,Tm,G,MP,3PA,3P%,TRB,BLK,STL,AST,TOV,PTS,PER,TS%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
17124,Jonas Valančiūnas,15000000,14000000,28,MEM,62,28.3,0.9,.368,12.5,0.9,0.6,1.8,1.6,17.1,24.4,.636,5.1,2.6,7.8,3.1,-0.4,2.7,2.1
17125,Andre Iguodala,15000000,15000000,37,MIA,63,21.3,2.9,.330,3.5,0.6,0.9,2.3,1.1,4.4,9.2,.519,-0.1,1.8,1.7,-2.5,1.8,-0.7,0.4
17126,Marcus Morris,14883721,15627907,31,LAC,57,26.4,5.2,.473,4.1,0.3,0.6,1.0,1.0,13.4,14.5,.614,2.1,1.5,3.6,0.9,-1.0,-0.2,0.7
17127,Kelly Oubre Jr.,14375000,0,25,GSW,55,30.7,5.2,.316,6.0,0.8,1.0,1.3,1.3,15.4,13.3,.529,0.0,2.2,2.2,-1.5,-0.6,-2.1,-0.1
17128,Dejounte Murray,14285714,15428571,24,SAS,67,31.9,3.0,.317,7.1,0.1,1.5,5.4,1.7,15.7,16.5,.509,0.7,2.6,3.3,-0.2,0.8,0.6,1.4
17129,Rudy Gay,14000000,0,34,SAS,63,21.6,4.4,.381,4.8,0.6,0.7,1.4,1.0,11.4,14.7,.532,0.0,1.7,1.7,-0.1,-0.2,-0.3,0.6
17130,Taurean Prince,13942308,15057692,26,TOT,41,22.1,3.8,.400,3.5,0.6,0.7,1.9,1.1,9.5,12.1,.540,0.2,0.8,1.0,-1.2,-0.8,-2.0,0.0
17139,Will Barton,13920000,14880000,30,DEN,56,31.0,4.6,.381,4.0,0.4,0.9,3.2,1.7,12.7,11.8,.538,0.7,1.5,2.2,-0.8,-1.2,-2.0,0.0
17140,Thaddeus Young,13545000,14190000,32,CHI,68,24.3,0.7,.267,6.2,0.6,1.1,4.3,2.0,12.1,20.3,.578,2.8,2.2,5.1,2.0,1.2,3.2,2.2
17141,Terrence Ross,13500000,12500000,29,ORL,46,29.3,5.7,.337,3.4,0.5,1.0,2.3,1.6,15.6,13.2,.530,-0.1,1.0,0.9,-1.3,-1.1,-2.4,-0.1
17142,Marcus Smart,13446428,14339285,26,BOS,48,32.9,5.9,.330,3.5,0.5,1.5,5.7,2.0,13.1,13.8,.539,1.8,1.5,3.3,-0.4,-0.2,-0.6,0.6
17143,Patrick Beverley,13333333,14320988,32,LAC,37,22.5,3.8,.397,3.2,0.8,0.8,2.1,0.9,7.5,12.0,.580,1.0,1.0,2.1,-0.7,0.7,0.0,0.4
17144,Malik Beasley,13325895,14391964,24,MIN,37,32.8,8.7,.399,4.4,0.2,0.8,2.4,1.6,19.6,14.6,.570,0.9,0.4,1.3,1.7,-2.3,-0.6,0.4
17145,Patty Mills,13285714,0,32,SAS,68,24.8,6.3,.375,1.7,0.0,0.6,2.4,1.0,10.8,11.8,.570,1.3,0.8,2.2,0.1,-1.8,-1.6,0.2
17146,Christian Wood,13015874,13666667,25,HOU,41,32.3,5.0,.374,9.6,1.2,0.8,1.7,2.0,21.0,20.0,.591,1.4,1.4,2.8,1.9,-0.5,1.4,1.2
17147,J.J. Redick,13013700,0,36,TOT,44,16.4,4.0,.371,1.5,0.1,0.3,1.2,0.8,7.4,9.9,.564,0.4,0.3,0.7,-1.5,-2.2,-3.7,-0.3
17156,Justise Winslow,13000000,13000000,24,MEM,26,19.5,2.1,.185,4.5,0.5,0.6,1.9,1.4,6.8,6.2,.395,-1.3,0.6,-0.7,-6.2,0.1,-6.1,-0.5
17157,Trevor Ariza,12800000,0,35,MIA,30,28.0,4.8,.350,4.8,0.6,1.0,1.8,0.7,9.4,11.9,.542,0.5,1.0,1.6,-1.5,0.2,-1.3,0.2
17158,Brook Lopez,12697675,13302325,32,MIL,70,27.2,4.0,.338,5.0,1.5,0.6,0.7,0.9,12.3,15.4,.611,3.1,2.2,5.3,0.1,-0.1,0.0,1.0
17159,Cory Joseph,12600000,12600000,29,TOT,63,23.0,2.1,.341,2.5,0.3,1.0,3.4,1.3,8.2,12.5,.556,1.3,0.8,2.1,-1.9,-0.3,-2.1,-0.1
17168,Markelle Fultz,12288697,16500000,22,ORL,8,26.9,2.0,.250,3.1,0.3,1.0,5.4,2.3,12.9,12.0,.458,-0.3,0.1,-0.1,-2.9,-1.7,-4.6,-0.1
17169,Kelly Olynyk,12198243,0,29,TOT,70,28.5,5.3,.342,7.0,0.6,1.1,2.9,1.8,13.5,16.4,.610,2.5,2.6,5.1,0.2,0.9,1.1,1.6
17178,Tony Snell,12178571,0,29,ATL,47,21.1,2.3,.569,2.4,0.2,0.3,1.3,0.4,5.3,9.5,.708,1.6,0.5,2.0,-0.5,-0.4,-0.9,0.3
17179,Robert Covington,12138345,12975471,30,POR,70,32.0,5.1,.379,6.7,1.2,1.4,1.7,0.9,8.5,11.2,.553,1.4,2.4,3.7,-1.5,1.2,-0.3,1.0
17180,Kentavious Caldwell-Pope,12073020,13038862,27,LAL,67,28.4,4.4,.410,2.7,0.4,0.9,1.9,1.0,9.7,10.7,.588,1.6,2.6,4.2,-1.5,0.6,-0.9,0.6
17181,Jusuf Nurkić,12000000,12000000,26,POR,37,23.8,0.8,.400,9.0,1.1,1.0,3.4,2.0,11.5,20.5,.554,1.2,1.2,2.4,0.3,1.7,2.0,0.9
17182,T.J. Warren,11750000,12690000,27,IND,4,29.3,1.8,.000,3.5,0.0,0.5,1.3,1.0,15.5,11.6,.560,0.1,0.1,0.1,-3.0,-2.5,-5.5,-0.1
17183,Larry Nance Jr.,11709091,10690909,28,CLE,35,31.2,3.3,.360,6.7,0.5,1.7,3.1,1.6,9.3,13.2,.557,0.5,1.3,1.8,-1.1,1.7,0.6,0.7
17184,Jordan Clarkson,11500000,12420000,28,UTA,68,26.7,8.8,.347,4.0,0.1,0.9,2.5,1.7,18.4,17.1,.549,1.7,2.5,4.2,1.9,-0.8,1.1,1.4
17185,Spencer Dinwiddie,11454048,12302496,27,BRK,3,21.3,2.3,.286,4.3,0.3,0.7,3.0,1.7,6.7,10.1,.536,0.0,0.1,0.1,-3.4,2.0,-1.4,0.0
17186,Dillon Brooks,11400000,12200000,25,MEM,67,29.8,5.6,.344,2.9,0.4,1.2,2.3,1.8,17.2,12.1,.515,-0.5,1.8,1.4,-2.6,-1.3,-3.9,-1.0
17187,Lonzo Ball,11003782,0,23,NOP,55,31.8,8.3,.378,4.8,0.6,1.5,5.7,2.2,14.6,15.2,.551,1.5,1.7,3.2,1.4,0.2,1.6,1.6
17188,Norman Powell,10865952,11615328,27,TOT,69,32.0,6.0,.411,3.1,0.3,1.2,1.9,1.7,18.6,16.2,.618,3.4,1.3,4.7,0.8,-0.7,0.1,1.2
17197,Joe Ingles,10863637,14000000,33,UTA,67,27.9,6.1,.451,3.6,0.2,0.7,4.7,1.7,12.1,15.9,.672,4.7,2.3,7.0,2.7,0.7,3.4,2.5
17198,Josh Richardson,10800000,11600000,27,DAL,59,30.3,4.5,.330,3.3,0.4,1.0,2.6,1.3,12.1,11.9,.537,1.0,1.4,2.4,-1.5,-0.6,-2.1,0.0
17199,Jeremy Lamb,10500000,10500000,28,IND,36,21.3,3.6,.406,3.6,0.6,0.9,1.5,0.6,10.1,15.8,.587,1.2,0.9,2.1,0.9,0.4,1.3,0.6
17200,DeAndre Jordan,10375678,9881598,32,BRK,57,21.9,0.0,.000,7.5,1.1,0.3,1.6,1.5,7.5,17.1,.736,2.4,1.5,3.9,0.0,0.7,0.7,0.8
17201,Zion Williamson,10245480,10733400,20,NOP,61,33.2,0.6,.294,7.2,0.6,0.9,3.7,2.7,27.0,27.1,.649,7.1,1.6,8.7,5.8,-0.4,5.4,3.8
17202,Dwight Powell,10185185,11000000,29,DAL,58,16.7,0.4,.238,4.0,0.5,0.6,1.1,0.7,5.9,16.8,.688,2.6,1.2,3.8,-0.8,1.5,0.7,0.7
17203,Rodney Hood,10047450,10851246,28,TOT,55,17.1,2.1,.301,1.9,0.1,0.4,1.0,0.7,4.5,5.6,.452,-0.7,0.3,-0.4,-5.3,-1.8,-7.1,-1.2
17212,Deandre Ayton,10018200,12632950,22,PHO,69,30.7,0.3,.200,10.5,1.2,0.6,1.4,1.5,14.4,20.3,.653,5.3,3.1,8.4,0.9,0.0,0.9,1.6
17213,Tomáš Satoranský,10000000,10000000,29,CHI,58,22.5,2.0,.356,2.4,0.2,0.7,4.7,1.7,7.7,13.8,.614,1.9,1.1,3.1,-0.5,-0.2,-0.7,0.4
17214,Paul Millsap,10000000,0,35,DEN,56,20.8,2.6,.343,4.7,0.6,0.9,1.8,0.9,9.0,16.4,.565,1.7,1.6,3.2,0.4,0.1,0.5,0.7
17215,Jayson Tatum,9897120,28103550,22,BOS,64,35.8,7.6,.386,7.4,0.5,1.2,4.3,2.7,26.4,21.3,.576,4.1,2.5,6.5,4.1,-0.4,3.7,3.3
17216,Anthony Edwards,9757440,10245480,19,MIN,72,32.1,7.2,.329,4.7,0.5,1.1,2.9,2.2,19.3,13.9,.523,-0.6,1.4,0.8,-0.9,-1.7,-2.6,-0.3
17217,Al-Farouq Aminu,9720900,10183800,30,TOT,23,18.9,1.6,.216,4.8,0.4,0.8,1.3,1.2,4.4,8.9,.469,-0.4,0.5,0.1,-5.0,1.0,-4.0,-0.2
17226,Dante Exum,9600000,0,25,CLE,6,19.3,1.8,.182,2.8,0.3,0.7,2.2,1.2,3.8,5.9,.428,-0.2,0.1,-0.1,-4.8,1.7,-3.1,0.0
17227,George Hill,9590602,10047297,34,TOT,30,22.4,2.7,.388,2.0,0.2,0.8,2.4,1.0,8.7,13.1,.596,0.9,0.6,1.4,-0.9,-0.5,-1.4,0.1
17236,Kyle Anderson,9505100,9937150,27,MEM,69,27.3,3.8,.360,5.7,0.8,1.2,3.6,1.2,12.4,17.2,.578,2.9,2.7,5.6,1.4,1.7,3.1,2.4
17237,Meyers Leonard,9400000,0,28,MIA,3,9.7,2.3,.429,2.3,0.0,0.0,0.7,0.7,3.3,6.6,.635,0.0,0.0,0.0,-3.5,-0.9,-4.4,0.0
17238,Derrick Jones Jr.,9268293,9731707,23,POR,58,22.7,2.3,.316,3.5,0.9,0.6,0.8,0.6,6.8,11.9,.576,1.6,0.8,2.4,-1.6,-0.3,-1.9,0.1
17239,Jae Crowder,9258000,9720900,30,PHO,60,27.5,6.3,.389,4.7,0.5,0.8,2.1,0.9,10.1,11.8,.574,1.4,1.9,3.3,0.1,0.7,0.8,1.2
17240,Derrick Favors,9258000,9720900,29,UTA,68,15.3,0.0,.000,5.5,1.0,0.5,0.6,0.5,5.4,19.7,.663,2.9,2.2,5.1,0.2,1.8,2.0,1.0
