,Player,CurrentSalary,UpcomingSalary,Age,Tm,G,MP,3PA,3P%,TRB,AST,STL,BLK,TOV,PTS,PER,TS%,Unnamed: 19,OWS,DWS,WS,Unnamed: 24,OBPM,DBPM,BPM,VORP
28,Blake Griffin,"$33,685,241","$29,764,126",31,DET,20,31.3,6.2,.315,5.2,3.9,0.7,0.1,1.6,12.3,9.8,.491,,-0.2,0.5,0.3,,-1.5,-1.1,-2.6,-0.1
29,Blake Griffin,"$33,685,241","$29,764,126",31,DET,20,31.3,6.2,.315,5.2,3.9,0.7,0.1,1.6,12.3,16.3,.610,,1.1,0.6,1.7,,0.3,0.3,0.6,0.4
30,Blake Griffin,"$33,685,241","$29,764,126",31,BRK,26,21.5,3.1,.383,4.7,2.4,0.7,0.5,1.2,10.0,12.9,.546,,0.9,1.1,2.0,,-0.6,-0.4,-1.0,0.3
31,Blake Griffin,"$33,685,241","$29,764,126",31,BRK,26,21.5,3.1,.383,4.7,2.4,0.7,0.5,1.2,10.0,9.8,.491,,-0.2,0.5,0.3,,-1.5,-1.1,-2.6,-0.1
32,Blake Griffin,"$33,685,241","$29,764,126",31,BRK,26,21.5,3.1,.383,4.7,2.4,0.7,0.5,1.2,10.0,16.3,.610,,1.1,0.6,1.7,,0.3,0.3,0.6,0.4
33,Blake Griffin,"$33,685,241","$29,764,126",31,TOT,46,25.8,4.5,.341,4.9,3.0,0.7,0.3,1.3,11.0,12.9,.546,,0.9,1.1,2.0,,-0.6,-0.4,-1.0,0.3
34,Blake Griffin,"$33,685,241","$29,764,126",31,TOT,46,25.8,4.5,.341,4.9,3.0,0.7,0.3,1.3,11.0,9.8,.491,,-0.2,0.5,0.3,,-1.5,-1.1,-2.6,-0.1
35,Blake Griffin,"$33,685,241","$29,764,126",31,TOT,46,25.8,4.5,.341,4.9,3.0,0.7,0.3,1.3,11.0,16.3,.610,,1.1,0.6,1.7,,0.3,0.3,0.6,0.4
36,Blake Griffin,"$33,685,241","$29,764,126",31,DET,20,31.3,6.2,.315,5.2,3.9,0.7,0.1,1.6,12.3,12.9,.546,,0.9,1.1,2.0,,-0.6,-0.4,-1.0,0.3
37,Blake Griffin,"$33,685,241","$29,764,126",31,DET,20,31.3,6.2,.315,5.2,3.9,0.7,0.1,1.6,12.3,9.8,.491,,-0.2,0.5,0.3,,-1.5,-1.1,-2.6,-0.1
38,Blake Griffin,"$33,685,241","$29,764,126",31,DET,20,31.3,6.2,.315,5.2,3.9,0.7,0.1,1.6,12.3,16.3,.610,,1.1,0.6,1.7,,0.3,0.3,0.6,0.4
39,Blake Griffin,"$33,685,241","$29,764,126",31,BRK,26,21.5,3.1,.383,4.7,2.4,0.7,0.5,1.2,10.0,12.9,.546,,0.9,1.1,2.0,,-0.6,-0.4,-1.0,0.3
40,Blake Griffin,"$33,685,241","$29,764,126",31,BRK,26,21.5,3.1,.383,4.7,2.4,0.7,0.5,1.2,10.0,9.8,.491,,-0.2,0.5,0.3,,-1.5,-1.1,-2.6,-0.1
41,Blake Griffin,"$33,685,241","$29,764,126",31,BRK,26,21.5,3.1,.383,4.7,2.4,0.7,0.5,1.2,10.0,16.3,.610,,1.1,0.6,1.7,,0.3,0.3,0.6,0.4
42,Damian Lillard,"$31,626,953","$43,750,000",30,POR,67,35.8,10.5,.391,4.2,7.5,0.9,0.3,3.0,28.8,25.6,.623,,9.6,0.8,10.4,,7.4,-1.6,5.9,4.8
43,Kevin Love,"$31,300,000","$31,300,000",32,CLE,25,24.9,6.2,.365,7.4,2.5,0.6,0.1,1.5,12.2,15.1,.556,,0.3,0.6,0.9,,0.8,-0.8,0.0,0.3
44,Player,2020-21,2021-22,Age,Tm,G,MP,3PA,3P%,TRB,AST,STL,BLK,TOV,PTS,PER,TS%,,OWS,DWS,WS,,OBPM,DBPM,BPM,VORP
45,Player,2020-21,2021-22,Age,Tm,G,MP,3PA,3P%,TRB,AST,STL,BLK,TOV,PTS,PER,TS%,,OWS,DWS,WS,,OBPM,DBPM,BPM,VORP
46,Player,2020-21,2021-22,Age,Tm,G,MP,3PA,3P%,TRB,AST,STL,BLK,TOV,PTS,PER,TS%,,OWS,DWS,WS,,OBPM,DBPM,BPM,VORP
47,Player,2020-21,2021-22,Age,Tm,G,MP,3PA,3P%,TRB,AST,STL,BLK,TOV,PTS,PER,TS%,,OWS,DWS,WS,,OBPM,DBPM,BPM,VORP
48,Player,2020-21,2021-22,Age,Tm,G,MP,3PA,3P%,TRB,AST,STL,BLK,TOV,PTS,PER,TS%,,OWS,DWS,WS,,OBPM,DBPM,BPM,VORP
49,Player,2020-21,2021-22,Age,Tm,G,MP,3PA,3P%,TRB,AST,STL,BLK,TOV,PTS,PER,TS%,,OWS,DWS,WS,,OBPM,DBPM,BPM,VORP
50,Player,2020-21,2021-22,Age,Tm,G,MP,3PA,3P%,TRB,AST,STL,BLK,TOV,PTS,PER,TS%,,OWS,DWS,WS,,OBPM,DBPM,BPM,VORP
51,Player,2020-21,2021-22,Age,Tm,G,MP,3PA,3P%,TRB,AST,STL,BLK,TOV,PTS,PER,TS%,,OWS,DWS,WS,,OBPM,DBPM,BPM,VORP
52,Player,2020-21,2021-22,Age,Tm,G,MP,3PA,3P%,TRB,AST,STL,BLK,TOV,PTS,PER,TS%,,OWS,DWS,WS,,OBPM,DBPM,BPM,VORP
53,Player,2020-21,2021-22,Age,Tm,G,MP,3PA,3P%,TRB,AST,STL,BLK,TOV,PTS,PER,TS%,,OWS,DWS,WS,,OBPM,DBPM,BPM,VORP
54,Player,2020-21,2021-22,Age,Tm,G,MP,3PA,3P%,TRB,AST,STL,BLK,TOV,PTS,PER,TS%,,OWS,DWS,WS,,OBPM,DBPM,BPM,VORP
55,Player,2020-21,2021-22,Age,Tm,G,MP,3PA,3P%,TRB,AST,STL,BLK,TOV,PTS,PER,TS%,,OWS,DWS,WS,,OBPM,DBPM,BPM,VORP
56,Player,2020-21,2021-22,Age,Tm,G,MP,3PA,3P%,TRB,AST,STL,BLK,TOV,PTS,PER,TS%,,OWS,DWS,WS,,OBPM,DBPM,BPM,VORP
57,Player,2020-21,2021-22,Age,Tm,G,MP,3PA,3P%,TRB,AST,STL,BLK,TOV,PTS,PER,TS%,,OWS,DWS,WS,,OBPM,DBPM,BPM,VORP
58,Player,2020-21,2021-22,Age,Tm,G,MP,3PA,3P%,TRB,AST,STL,BLK,TOV,PTS,PER,TS%,,OWS,DWS,WS,,OBPM,DBPM,BPM,VORP
59,Player,2020-21,2021-22,Age,Tm,G,MP,3PA,3P%,TRB,AST,STL,BLK,TOV,PTS,PER,TS%,,OWS,DWS,WS,,OBPM,DBPM,BPM,VORP
60,Player,2020-21,2021-22,Age,Tm,G,MP,3PA,3P%,TRB,AST,STL,BLK,TOV,PTS,PER,TS%,,OWS,DWS,WS,,OBPM,DBPM,BPM,VORP
61,Player,2020-21,2021-22,Age,Tm,G,MP,3PA,3P%,TRB,AST,STL,BLK,TOV,PTS,PER,TS%,,OWS,DWS,WS,,OBPM,DBPM,BPM,VORP
